"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"76","python3.8","127.0.0.1","kernel_B","(1024, 1, 1)","(216, 1, 1)","0","8.0","100","Command line profiler metrics","gpu__time_active.avg","nsecond","90,016.00","95,136.00","93,188.16"
"76","python3.8","127.0.0.1","kernel_A","(1024, 1, 1)","(216, 1, 1)","0","8.0","100","Command line profiler metrics","gpu__time_active.avg","nsecond","76,064.00","78,240.00","76,952.96"
