"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"6515","python3.8","127.0.0.1","kernel_B","(1024, 1, 1)","(216, 1, 1)","0","8.0","100","Command line profiler metrics","smsp__thread_inst_executed.sum","inst","74,784,015.00","74,784,015.00","74,784,015.00"
"6515","python3.8","127.0.0.1","kernel_A","(1024, 1, 1)","(216, 1, 1)","0","8.0","100","Command line profiler metrics","smsp__thread_inst_executed.sum","inst","43,077,888.00","43,077,888.00","43,077,888.00"
